"Pavel is a male human.  They have flamboyant clothing,  high strength — powerful, brawny, strong as an ox. their talent is: Great at impersonations. They are Friendly and they Chews something.Their ideals are Retribution, Their bonds are Dedicated to fulfilling a personal life goal, Their flaws are Envies another creature’s possessions or station."
"Cora is a female halfling.  They have unusual skin color,  high intelligence — studious, learned, inquisitive. their talent is: Paints beautifully. They are Hot tempered and they Frequently uses the wrong word.Their ideals are Moderation, Their bonds are Protective of a sentimental keepsake, Their flaws are Prone to rage."
"Boddynock is a male gnome.  They have tattoos,  low constitution — sickly, pale. their talent is: Skilled actor and master of disguise. They are Hot tempered and they Paces.Their ideals are Self-knowledge, Their bonds are Protective of close family members, Their flaws are Specific phobia."
"Mumed is a male human.  They have tattoos,  high charisma — persuasive, forceful, born leader. their talent is: Unbelievably lucky. They are Suspicious and they Bites fingernails.Their ideals are Honor, Their bonds are Out for revenge, Their flaws are Envies another creature’s possessions or station."
"Adran is a male half-elf.  They have distinctive nose,  low charisma — dull, boring. their talent is: Great with children. They are Blustering and they Speaks loudly.Their ideals are Domination, Their bonds are Protective of a sentimental keepsake, Their flaws are Enjoys decadent pleasures."
"Vola is a female half-orc.  They have exceptionally ugly,  low charisma — dull, boring. their talent is: Paints beautifully. They are Blustering and they Frequently uses the wrong word.Their ideals are Change, Their bonds are Protective of a valuable possession, Their flaws are Foolhardy bravery."
"Zanna is a female gnome.  They have braided beard or hair,  low charisma — dull, boring. their talent is: Great at one game. They are Honest and they Chews something.Their ideals are Fairness, Their bonds are Loyal to a benefactor, patron, or employer, Their flaws are Has a powerful enemy."
"Cora is a female halfling.  They have distinctive jewelry,  low constitution — sickly, pale. their talent is: Expert carpenter. They are Suspicious and they Whispers.Their ideals are Community, Their bonds are Loyal to a benefactor, patron, or employer, Their flaws are Enjoys decadent pleasures."
"Gorstag is a male half-elf.  They have distinctive jewelry,  low charisma — dull, boring. their talent is: Speaks several languages fluently. They are Rude and they Fidgets.Their ideals are Independence, Their bonds are Loyal to a benefactor, patron, or employer, Their flaws are Has a powerful enemy."
"Krusk is a male half-orc.  They have flamboyant clothing,  high dexterity — lithe, agile, graceful. their talent is: Unbelievably lucky. They are Argumentative and they Uses flowery speech or long words.Their ideals are Logic, Their bonds are Captivated by a romantic interest, Their flaws are Forbidden love or susceptibility to romance."
"Fonkin is a male gnome.  They have exceptionally beautiful,  high wisdom — perceptive, spiritual, insightful. their talent is: Perfect memory. They are Argumentative and they Chews something.Their ideals are Might, Their bonds are Protective of colleagues or compatriots, Their flaws are Prone to rage."
"Kellen is a male gnome.  They have braided beard or hair,  high constitution — hardy, hale, healthy. their talent is: Great at impersonations. They are Friendly and they Paces.Their ideals are Nation, Their bonds are Protective of a valuable possession, Their flaws are Has a powerful enemy."
"Glim is a male gnome.  They have braided beard or hair,  high dexterity — lithe, agile, graceful. their talent is: Skilled actor and master of disguise. They are Suspicious and they Slurs words, lisps, or stutters.Their ideals are Retribution, Their bonds are Drawn to a special place, Their flaws are Enjoys decadent pleasures."
"Eberk is a male dwarf.  They have flamboyant clothing,  high strength — powerful, brawny, strong as an ox. their talent is: Expert carpenter. They are Rude and they Bites fingernails.Their ideals are Responsibility, Their bonds are Captivated by a romantic interest, Their flaws are Possession of forbidden lore."
